"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.920820034E1,6.502515428E1,2.548254627E1,1.758615029E1,1.558646859E0,4.391633071E0,5.234320631E0,4.555198529E0
4.020820022E1,6.502517002E1,2.548252230E1,1.690099173E1,1.535170403E0,6.406399945E0,5.353051103E0,4.617368785E0
4.120820034E1,6.502517876E1,2.548253200E1,1.598025293E1,1.142193208E0,8.136929545E0,5.198080507E0,4.489289726E0
4.220820034E1,6.502518985E1,2.548252951E1,1.522393436E1,1.351238194E0,1.163743189E0,5.451225145E0,4.672633599E0
4.320819974E1,6.502520368E1,2.548253857E1,1.487129254E1,1.412580237E0,3.082287038E0,5.333824587E0,4.526767725E0
4.420820081E1,6.502521592E1,2.548253977E1,1.484690496E1,1.197838468E0,1.009694088E-2,5.432647290E0,4.593147298E0
4.520819998E1,6.502522975E1,2.548255669E1,1.425452305E1,1.482452765E0,1.057012807E1,5.535291338E0,4.674401030E0
4.620819974E1,6.502523781E1,2.548255781E1,1.405940377E1,1.243756088E0,8.169187000E0,5.567260707E0,4.416797101E0
4.720820022E1,6.502525196E1,2.548257573E1,1.346960250E1,1.285273385E0,7.479411837E0,5.556046323E0,4.648809964E0
4.820820022E1,6.502526452E1,2.548260543E1,1.315332787E1,1.145168497E0,2.618028059E1,5.616462751E0,4.849957031E0
4.920819974E1,6.502527386E1,2.548265243E1,1.257182454E1,1.368237862E0,5.253913473E1,5.597414494E0,4.921538660E0
5.020819998E1,6.502527098E1,2.548270732E1,1.218697280E1,1.516706479E0,7.892097879E1,5.555193955E0,4.627931951E0
5.120820034E1,6.502526853E1,2.548274013E1,1.197897305E1,1.106564997E0,9.011374259E1,5.478868400E0,4.720956156E0
5.220819950E1,6.502526872E1,2.548277986E1,1.168471434E1,1.061061672E0,8.849654583E1,5.414354115E0,4.685745204E0
5.320819950E1,6.502526437E1,2.548282513E1,1.122335542E1,1.460054747E0,1.034838122E2,5.346882657E0,4.430485003E0
5.420820022E1,6.502526150E1,2.548285245E1,1.119623122E1,1.223408858E0,9.739983625E1,5.301686361E0,4.526242242E0
5.520819938E1,6.502526458E1,2.548289199E1,1.088411623E1,1.074197685E0,9.709383691E1,5.236860063E0,4.378928914E0
5.620819938E1,6.502525845E1,2.548293029E1,1.051602271E1,1.266264963E0,1.076241152E2,5.148841168E0,4.244945485E0
5.720819914E1,6.502526255E1,2.548298229E1,1.079516958E1,1.387712223E0,9.603236877E1,5.122386516E0,4.185346321E0
5.820819986E1,6.502525886E1,2.548300362E1,1.006581102E1,1.089608479E0,9.089799334E1,5.106396498E0,4.147541964E0
