"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.697512500E-1,-1.941908192E-1,8.213991670E-1,5.455037051E-1
7.796782500E-1,-9.587134983E-2,9.091252358E-1,3.612310427E-1
7.896042500E-1,2.971832737E-2,8.626100506E-1,1.895959675E-1
7.995302500E-1,-5.665725388E-2,1.000634161E0,1.885586715E-1
8.094572500E-1,-2.206610366E-1,1.105671642E0,5.491359955E-1
8.193832500E-1,-4.187324884E-1,8.612868257E-1,7.886432111E-1
8.293092500E-1,-4.745926937E-1,5.285105270E-1,7.056244433E-1
8.392362500E-1,-5.362146356E-1,3.462228481E-1,3.326662248E-1
8.491622500E-1,-5.486118657E-1,2.235891943E-1,-1.763093394E-1
8.590892500E-1,-5.249958753E-1,1.677308893E-1,-5.742147034E-1
8.690152500E-1,-5.803657550E-1,2.478824750E-1,-9.015605468E-1
8.789412500E-1,-9.767278927E-1,5.940475819E-1,-1.158931591E0
8.888682500E-1,-1.558683506E0,1.106549602E0,-1.199563892E0
8.987942500E-1,-1.663016252E0,1.361218794E0,-8.584706604E-1
9.087212500E-1,-1.122340446E0,1.093794193E0,7.761594057E-2
9.186472500E-1,-5.361875557E-1,3.560768683E-1,1.461979330E0
9.285732500E-1,-5.983296075E-1,-4.855764690E-1,2.957112372E0
9.385002500E-1,-1.139113988E0,-1.202828466E0,3.976102551E0
9.484262500E-1,-1.762207979E0,-1.716893666E0,4.035138379E0
9.583532500E-1,-2.437149743E0,-1.800069724E0,3.316101007E0
9.682792500E-1,-2.851514581E0,-1.677367804E0,2.343557602E0
9.782052500E-1,-2.901022079E0,-1.426479714E0,1.662173375E0
9.881322500E-1,-2.633935301E0,-1.168679923E0,1.337166418E0
9.980582500E-1,-2.215683527E0,-1.024162260E0,1.188146034E0
1.007984250E0,-1.807284457E0,-9.937334231E-1,9.849020809E-1
1.017911250E0,-1.542901432E0,-9.832021491E-1,6.423259950E-1
1.027837250E0,-1.365022700E0,-9.260910782E-1,3.516182202E-1
1.037764000E0,-1.089799960E0,-7.626987498E-1,9.355545044E-6
1.047690000E0,-7.744583776E-1,-5.314697298E-1,-5.071716982E-1
1.057616000E0,-4.627291682E-1,-3.942505619E-1,-1.144013005E0
1.067543000E0,-1.664573658E-1,-3.416643588E-1,-1.909091352E0
1.077469000E0,-1.680049410E-2,-2.835170151E-1,-2.455946349E0
1.087396000E0,-4.277479447E-2,-1.341284028E-1,-2.676774634E0
1.097322000E0,6.153408755E-2,-5.011440229E-2,-2.761820632E0
1.107248000E0,-4.706723548E-2,1.090472463E-1,-2.767204748E0
1.117175000E0,-1.905452264E-1,2.644995675E-1,-2.762702976E0
1.127101000E0,-2.728870694E-1,3.205446544E-1,-2.704754730E0
1.137027000E0,-4.541715854E-1,3.964331813E-1,-2.515558128E0
1.146954000E0,-4.808445732E-1,4.320388509E-1,-2.318988186E0
1.156880000E0,-3.656246771E-1,4.669273959E-1,-2.242749850E0
1.166807000E0,-3.939393438E-1,5.624064342E-1,-2.058934439E0
1.176733000E0,-4.091733506E-1,7.102356306E-1,-1.697571834E0
1.186659000E0,-3.189854944E-1,8.738492031E-1,-1.353201823E0
1.196586000E0,-2.864271013E-1,9.747756536E-1,-1.146588119E0
1.206512000E0,-1.935691140E-1,9.643250712E-1,-1.199885489E0
1.216439000E0,-2.776080748E-2,8.711825804E-1,-1.629109710E0
1.226365000E0,-5.835870227E-2,7.987673727E-1,-1.949486842E0
1.236291000E0,-1.358519061E-1,8.204855396E-1,-1.902230814E0
1.246218000E0,-1.490839542E-1,8.673731925E-1,-1.578555268E0
1.256144000E0,-9.071328336E-2,8.863142974E-1,-9.961743432E-1
1.266071000E0,-1.256490813E-2,8.697141252E-1,-5.398699129E-1
1.275997000E0,-1.164737766E-1,7.155408825E-1,-3.440209329E-1
1.285923000E0,-2.706357452E-1,9.019661973E-1,1.318026727E-1
1.295850000E0,1.835932890E-1,1.085554297E0,5.553761441E-1
1.305776000E0,2.944581423E-1,9.545072307E-1,8.045008600E-1
1.315702000E0,1.321527382E-1,9.664196900E-1,1.184680974E0
1.325629000E0,2.310649326E-1,9.264128213E-1,1.550304446E0
1.335555000E0,2.628885682E-1,7.719619820E-1,2.013220323E0
1.345482000E0,3.578909304E-1,5.437269921E-1,2.567724062E0
1.355408000E0,4.314587705E-1,3.754949233E-1,2.897165548E0
1.365334000E0,3.873898045E-1,3.899639681E-1,3.078543254E0
1.375261000E0,3.745819902E-1,4.921353273E-1,3.053523018E0
1.385187000E0,3.681979636E-1,5.162188026E-1,2.726909246E0
1.395114000E0,5.414595515E-1,2.373765268E-1,2.363738097E0
1.405040000E0,6.172266756E-1,-2.802074180E-1,2.447088402E0
1.414966000E0,-1.910647150E-2,-5.463989139E-1,3.203429255E0
1.424893000E0,-1.224226644E0,-3.204242383E-1,4.133749332E0
1.434819000E0,-1.864243354E0,1.794033936E-1,4.259553346E0
1.444745000E0,-9.940775317E-1,3.451414787E-1,3.370147991E0
1.454672000E0,6.029809945E-1,7.954173932E-2,2.421619100E0
1.464598000E0,2.027446160E0,-3.963328650E-1,2.100573632E0
1.474525000E0,2.798620960E0,-8.929793923E-1,2.434883509E0
1.484451000E0,2.673400206E0,-1.532823756E0,2.978109723E0
1.494377000E0,2.089993241E0,-2.187210510E0,3.099913073E0
1.504304000E0,1.359271086E0,-2.534491412E0,2.685661232E0
1.514230000E0,6.337424286E-1,-2.559776234E0,1.705591291E0
1.524157000E0,1.924159152E-1,-2.245735876E0,3.418083465E-1
1.534083000E0,1.104872054E-1,-1.622512881E0,-1.111356305E0
1.544009000E0,5.144340131E-1,-1.014359403E0,-2.428808252E0
1.553936000E0,1.079594815E0,-4.727981101E-1,-3.148172482E0
1.563862000E0,1.570649686E0,2.973641720E-2,-3.057741784E0
1.573788000E0,2.064371911E0,2.426491439E-1,-2.482145383E0
1.583715000E0,2.127490119E0,9.559660379E-2,-1.641325128E0
1.593641000E0,1.655793625E0,-2.724104117E-1,-8.894474548E-1
1.603568000E0,8.874400326E-1,-6.778237103E-1,-5.752350426E-1
1.613494000E0,1.616147931E-1,-9.536418428E-1,-6.705084050E-1
1.623420000E0,-2.716321290E-1,-9.791866469E-1,-1.110131314E0
1.633347000E0,-5.131729515E-1,-7.913006976E-1,-1.719324646E0
1.643273000E0,-5.140476584E-1,-4.685075694E-1,-2.193771817E0
1.653200000E0,-3.557626901E-1,-8.380200237E-2,-2.440178162E0
1.663126000E0,-2.007433553E-1,2.777075140E-1,-2.499513368E0
1.673052000E0,-5.948193412E-2,5.146070907E-1,-2.454347135E0
1.682979000E0,2.279595494E-2,6.852944054E-1,-2.319760603E0
1.692905000E0,1.030580712E-1,7.333705048E-1,-2.184952462E0
1.702831000E0,1.363571056E-1,7.382326108E-1,-2.037082810E0
1.712758000E0,2.003377960E-1,7.721521626E-1,-1.865730155E0
1.722684000E0,2.515135045E-1,8.086803035E-1,-1.717074637E0
1.732611000E0,3.385999427E-1,8.489043233E-1,-1.684741874E0
1.742537000E0,4.472130698E-1,8.733304819E-1,-1.786852385E0
1.752463000E0,5.053899785E-1,8.527945489E-1,-1.869828469E0
1.762390000E0,4.723148377E-1,8.319041285E-1,-1.832433186E0
1.772316000E0,4.931764606E-1,8.384353222E-1,-1.714034670E0
1.782243000E0,5.082091404E-1,8.385845724E-1,-1.495915400E0
1.792169000E0,5.233754291E-1,8.435902275E-1,-1.178736110E0
1.802095000E0,5.571298702E-1,8.416550915E-1,-9.007489532E-1
1.812022000E0,5.521662785E-1,8.207957344E-1,-6.784606183E-1
1.821948000E0,5.238832964E-1,8.930591337E-1,-4.771287042E-1
1.831874000E0,5.750704069E-1,1.045940873E0,-4.077836502E-1
1.841801000E0,6.731044956E-1,1.209230656E0,-4.128865153E-1
1.851727000E0,8.778661671E-1,1.309958739E0,-2.932594997E-1
1.861654000E0,1.090621129E0,1.337143468E0,1.086705029E-1
1.871580000E0,1.149376144E0,1.310651634E0,8.406448388E-1
1.881506000E0,1.059870183E0,1.193765940E0,1.805084004E0
1.891433000E0,8.482469501E-1,9.517917837E-1,2.805288248E0
1.901359000E0,5.552782032E-1,6.735241064E-1,3.635232098E0
1.911285000E0,3.516729282E-1,3.726070566E-1,4.174131957E0
1.921212000E0,2.859342906E-1,-2.382740378E-2,4.446995199E0
1.931138000E0,3.630271612E-1,-4.718171666E-1,4.481065755E0
1.941065000E0,4.137179162E-1,-8.198424920E-1,4.347727604E0
1.950991000E0,3.388279476E-1,-1.007498061E0,4.053441333E0
1.960917000E0,2.516124138E-1,-1.105346610E0,3.642128888E0
1.970844000E0,2.254942171E-3,-9.903343635E-1,3.327755093E0
1.980770000E0,-5.492249463E-1,-4.874634020E-1,3.141172196E0
1.990696000E0,-1.048905557E0,3.663286819E-1,2.863088560E0
2.000623000E0,-8.405121070E-1,1.489917326E0,2.121894919E0
2.010549000E0,1.886041336E-2,2.352759511E0,9.619055665E-1
2.020476000E0,1.122893958E0,2.306455995E0,1.746902454E-1
2.030402000E0,1.665074033E0,1.406793747E0,4.279343247E-1
2.040327708E0,1.311067956E0,3.243170952E-2,1.542448711E0
2.050254708E0,3.191719475E-1,-1.244152859E0,2.585940478E0
2.060180708E0,-8.610484055E-1,-2.124420623E0,2.841624600E0
2.070107708E0,-1.918743790E0,-2.724781736E0,2.366381038E0
2.080033708E0,-2.831910329E0,-3.040971969E0,1.486171015E0
2.089959708E0,-3.176789340E0,-3.022715208E0,3.517614770E-1
2.099886708E0,-2.793851971E0,-2.472674648E0,-8.489034462E-1
2.109812708E0,-2.044486262E0,-1.766692940E0,-1.627063769E0
2.119738708E0,-1.381890017E0,-1.284118432E0,-1.776082984E0
2.129665708E0,-7.095444167E-1,-1.029040665E0,-1.435353448E0
2.139591708E0,-1.236852756E-1,-9.143619291E-1,-7.868364215E-1
2.149518708E0,1.943086041E-1,-1.100753476E0,-1.031010300E-1
2.159444708E0,2.952870948E-1,-1.376310457E0,3.978650182E-1
2.169370708E0,3.456852698E-1,-1.420534557E0,4.228688818E-1
2.179297708E0,2.767279592E-1,-1.332967241E0,-4.770684779E-2
2.189223708E0,1.428456511E-1,-1.196347632E0,-1.038577766E0
2.199150708E0,6.086659133E-2,-9.342996919E-1,-2.353010795E0
2.209076708E0,1.729832970E-2,-6.396343023E-1,-3.469389274E0
2.219002708E0,-3.941418037E-2,-2.897151734E-1,-4.124328298E0
2.228929708E0,1.400170606E-1,9.766918592E-2,-4.363864750E0
2.238855708E0,3.232441677E-1,3.877520761E-1,-4.094176546E0
2.248781708E0,4.110388682E-1,6.168983544E-1,-3.587772002E0
2.258708708E0,5.019905535E-1,8.084834716E-1,-3.176044990E0
2.268634708E0,4.966271950E-1,9.795312671E-1,-2.875093478E0
2.278561708E0,4.855387545E-1,1.070166033E0,-2.712053225E0
2.288487708E0,4.498051040E-1,1.131125011E0,-2.612903159E0
2.298413708E0,4.285097639E-1,1.198660498E0,-2.475592409E0
2.308340708E0,4.368892624E-1,1.205337872E0,-2.257298307E0
2.318266708E0,2.408136298E-1,1.216340724E0,-1.908482657E0
2.328192708E0,2.944628567E-2,1.180590993E0,-1.634210821E0
2.338119708E0,-2.020109951E-1,1.076507704E0,-1.495832954E0
2.348045708E0,-3.846459986E-1,8.978544353E-1,-1.399630469E0
2.357972708E0,-5.934871262E-1,7.841067950E-1,-1.193748837E0
2.367898708E0,-6.962401007E-1,7.479945374E-1,-9.280829322E-1
2.377824708E0,-7.002698556E-1,8.329396704E-1,-6.521855700E-1
2.387751708E0,-6.915664943E-1,8.641952308E-1,-4.561728680E-1
2.397677708E0,-7.959506958E-1,8.789343803E-1,-3.457283199E-1
2.407603708E0,-8.987899167E-1,9.554169112E-1,-2.354790688E-1
2.417530708E0,-1.006146112E0,1.058342232E0,-6.161795855E-2
2.427456708E0,-1.183259370E0,1.175987261E0,2.428757966E-1
2.437383708E0,-1.245497280E0,1.147811356E0,5.768120366E-1
2.447309708E0,-1.298083921E0,1.058160457E0,1.027187390E0
2.457235708E0,-1.164261255E0,9.228148102E-1,1.509366335E0
2.467162708E0,-9.011005171E-1,6.630018957E-1,2.013312709E0
2.477088708E0,-6.189444414E-1,3.312649396E-1,2.640162293E0
2.487015708E0,-3.816291276E-1,5.731681980E-2,3.302655335E0
2.496941708E0,-1.825342852E-1,-9.053792171E-2,3.799615456E0
2.506867708E0,1.240594243E-1,-1.381282637E-1,4.008655170E0
2.516794708E0,6.346622687E-1,-2.187419987E-1,3.975252950E0
2.526720708E0,1.138546078E0,-3.614258281E-1,3.937580509E0
2.536646708E0,1.014188007E0,-3.513427433E-1,4.165664020E0
2.546573708E0,2.962277291E-1,7.617094740E-3,4.516796336E0
2.556499708E0,-2.754537961E-1,6.263976679E-1,4.411369869E0
2.566426708E0,2.604221944E-2,1.056795132E0,3.450535512E0
2.576352708E0,1.037204986E0,1.123645179E0,2.054649600E0
2.586278708E0,2.266821228E0,8.185614402E-1,1.180455192E0
2.596205708E0,3.107410665E0,2.162714039E-1,1.326333867E0
2.606131708E0,3.041284503E0,-6.232232145E-1,2.121890826E0
2.616057708E0,2.445352948E0,-1.585577189E0,2.548089112E0
2.625984708E0,1.689688180E0,-2.199044544E0,2.206457351E0
2.635910708E0,8.080710237E-1,-2.466551444E0,1.182588256E0
2.645837708E0,1.789147856E-1,-2.442020912E0,-1.314033079E-1
2.655763708E0,-2.409869632E-2,-2.029511689E0,-1.439369316E0
2.665689708E0,2.329259186E-1,-1.441666979E0,-2.364155588E0
2.675616708E0,6.857813323E-1,-8.467282089E-1,-2.572505330E0
2.685542708E0,1.133834610E0,-3.354870678E-1,-2.064425560E0
2.695468708E0,1.386458008E0,-9.913077056E-2,-1.424701576E0
2.705395708E0,1.307968932E0,-1.831660768E-1,-1.042480198E0
2.715321708E0,9.399789463E-1,-5.481590720E-1,-9.691695625E-1
2.725248708E0,3.571624039E-1,-1.029650164E0,-9.577446878E-1
2.735174708E0,-9.270513738E-2,-1.297709407E0,-9.745361370E-1
2.745100708E0,-3.047167716E-1,-1.333288984E0,-1.045673947E0
2.755027708E0,-5.037898149E-1,-1.281543318E0,-1.038086600E0
2.764953708E0,-6.749848871E-1,-1.047786400E0,-9.187677330E-1
2.774880708E0,-5.179266647E-1,-7.360725763E-1,-1.040382217E0
2.784806708E0,-3.132346116E-1,-2.942888289E-1,-1.452661791E0
2.794732708E0,-1.955834067E-1,2.356613922E-1,-1.953952945E0
2.804659708E0,-1.522287512E-1,6.745662265E-1,-2.376553439E0
